LaptopID,Company,Product,TypeName,Inches,ScreenResolution,CPU,RAM,Memory,GPU,OS,Weight,Price in Rs
1,apple,macbook pro,ultrabook,13.3,ips panel retina display 2560x1600,intel core i5 2.3ghz,8,128gb ssd,intel iris plus graphics 640,macos,1.37kg,144686.52000000002
2,apple,macbook air,ultrabook,13.3,1440x900,intel core i5 1.8ghz,8,128gb flash storage,intel hd graphics 6000,macos,1.34kg,97085.52
3,hp,250 g6,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,no os,1.86kg,62100.0
4,apple,macbook pro,ultrabook,15.4,ips panel retina display 2880x1800,intel core i7 2.7ghz,16,512gb ssd,amd radeon pro 455,macos,1.83kg,274044.6
5,apple,macbook pro,ultrabook,13.3,ips panel retina display 2560x1600,intel core i5 3.1ghz,8,256gb ssd,intel iris plus graphics 650,macos,1.37kg,194788.8
6,acer,aspire 3,notebook,15.6,1366x768,amd a9-series 9420 3ghz,4,500gb hdd,amd radeon r5,windows,2.1kg,43200.0
7,apple,macbook pro,ultrabook,15.4,ips panel retina display 2880x1800,intel core i7 2.2ghz,16,256gb flash storage,intel iris pro graphics,mac os x,2.04kg,231116.76
8,apple,macbook air,ultrabook,13.3,1440x900,intel core i5 1.8ghz,8,256gb flash storage,intel hd graphics 6000,macos,1.34kg,125139.6
9,asus,zenbook ux430un,ultrabook,14.0,full hd 1920x1080,intel core i7 8550u 1.8ghz,16,512gb ssd,nvidia geforce mx150,windows,1.3kg,161460.0
10,acer,swift 3,ultrabook,14.0,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel uhd graphics 620,windows,1.6kg,83160.0
11,hp,250 g6,notebook,15.6,1366x768,intel core i5 7200u 2.5ghz,4,500gb hdd,intel hd graphics 620,no os,1.86kg,42541.2
12,hp,250 g6,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,500gb hdd,intel hd graphics 520,no os,1.86kg,37258.92
