LaptopID,Company,Product,TypeName,Inches,ScreenResolution,RAM,OS,Weight,Price in Rs,SSD_GB,HDD_GB,Flash_GB,Has_SSD,Has_HDD,Has_Flash,Storage_Performance_Score,Storage_Class,GPU_Brand_intel,GPU_Brand_nvidia,GPU_Brand_other,Dedicated_GPU,GPU_Performance_Tier,GPU_Usage_Class,GPU_Strength_Score,CPU_Brand_intel,CPU_Brand_other,CPU_Performance_Tier,CPU_Usage_Class,CPU_Strength_Score,Overall_Performance_Score,Price_Raw
1,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,-0.07519506268436271,macOS,-1.0052832259279667,0.30913182782510706,128,0,0,1,0,0,-0.9907223060167045,2,True,False,False,0,1,1,-0.7603688683734442,True,False,3,2,0.03045860524105415,30.400000000000002,144686.52
2,Apple,Macbook Air,Ultrabook,13.3,1440x900,-0.07519506268436271,macOS,-1.050381143323216,-0.32164574373110183,0,0,128,0,0,1,-1.126948256655382,1,True,False,False,0,1,1,-0.7603688683734442,True,False,3,2,0.03045860524105415,25.280000000000005,97085.52
3,HP,250 G6,Notebook,15.6,Full HD 1920x1080,-0.07519506268436271,No OS,-0.2686839084722321,-0.7852511584331288,256,0,0,1,0,0,-0.30959255282331777,2,True,False,False,0,1,1,-0.7603688683734442,True,False,3,2,0.03045860524105415,56.0,62100.0
4,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,1.4987674542268743,macOS,-0.3137818258674812,2.0233011848464684,512,0,0,1,0,0,1.0526669535634556,3,False,False,False,1,1,1,0.5432635467457632,True,False,4,3,0.9534251780106736,109.2,274044.6
5,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,-0.07519506268436271,macOS,-1.0052832259279667,0.9730547392729594,256,0,0,1,0,0,-0.30959255282331777,2,True,False,False,0,1,1,-0.7603688683734442,True,False,3,2,0.03045860524105415,56.0,194788.8
6,Acer,Aspire 3,Notebook,15.6,1366x768,-0.8621763211399812,Windows,0.09209943068976037,-1.035701697338033,0,500,0,0,1,0,-0.8736531296865911,1,False,False,False,1,1,1,0.5432635467457632,False,False,1,1,-1.815474540298185,33.2,43200.0
7,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,1.4987674542268743,Mac OS X,0.0019035958992621705,1.454449297966918,0,0,256,0,0,1,-0.5820444541006724,1,True,False,False,0,1,1,-0.7603688683734442,True,False,4,3,0.9534251780106736,46.96000000000001,231116.76
8,Apple,Macbook Air,Ultrabook,13.3,1440x900,-0.07519506268436271,macOS,-1.050381143323216,0.05010872475997219,0,0,256,0,0,1,-0.5820444541006724,1,True,False,False,0,1,1,-0.7603688683734442,True,False,3,2,0.03045860524105415,45.760000000000005,125139.6
9,Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,1.4987674542268743,Windows,-1.1105116998502147,0.5314031032383683,512,0,0,1,0,0,1.0526669535634556,3,False,True,False,1,2,2,2.498712169424574,True,False,4,3,0.9534251780106736,110.4,161460.0
10,Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,-0.07519506268436271,Windows,-0.659532525897724,-0.5061777007962354,256,0,0,1,0,0,-0.30959255282331777,2,True,False,False,0,1,1,-0.7603688683734442,True,False,3,2,0.03045860524105415,56.0,83160.0
11,HP,250 G6,Notebook,15.6,1366x768,-0.8621763211399812,No OS,-0.2686839084722321,-1.0444316875512898,0,500,0,0,1,0,-0.8736531296865911,1,True,False,False,0,1,1,-0.7603688683734442,True,False,3,2,0.03045860524105415,34.8,42541.2
12,HP,250 G6,Notebook,15.6,Full HD 1920x1080,-0.8621763211399812,No OS,-0.2686839084722321,-1.1144290353103692,0,500,0,0,1,0,-0.8736531296865911,1,True,False,False,0,1,1,-0.7603688683734442,True,False,2,2,-0.8925079675285653,33.6,37258.92
13,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,1.4987674542268743,macOS,-0.3137818258674812,1.883793078946754,256,0,0,1,0,0,-0.30959255282331777,2,False,False,False,1,1,1,0.5432635467457632,True,False,4,3,0.9534251780106736,58.0,263516.76
14,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,-0.8621763211399812,Windows,0.24242582200725737,-0.8941613642083472,256,0,0,1,0,0,-0.30959255282331777,2,False,False,False,1,1,1,0.5432635467457632,True,False,2,2,-0.8925079675285653,55.6,53881.2
15,Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,-0.07519506268436271,macOS,-1.681751986856703,0.19851855838533558,256,0,0,1,0,0,-0.30959255282331777,2,True,False,False,0,1,1,-0.7603688683734442,True,False,1,1,-1.815474540298185,53.6,136339.2
16,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,-0.07519506268436271,macOS,-1.0052832259279667,0.5651065900452853,256,0,0,1,0,0,-0.30959255282331777,2,True,False,False,0,1,1,-0.7603688683734442,True,False,3,2,0.03045860524105415,56.0,164003.4
17,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,-0.07519506268436271,Windows,0.24242582200725737,-0.5419563492112217,256,0,0,1,0,0,-0.30959255282331777,2,False,False,False,1,1,1,0.5432635467457632,True,False,4,3,0.9534251780106736,58.0,80460.0
18,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,1.4987674542268743,macOS,-0.3137818258674812,2.4820550148234233,512,0,0,1,0,0,1.0526669535634556,3,False,False,False,1,1,1,0.5432635467457632,True,False,4,3,0.9534251780106736,109.2,308664.0
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,-0.07519506268436271,No OS,0.24242582200725737,-0.8940182496146872,0,1024,0,0,1,0,-0.03714065154596318,1,False,True,False,1,2,2,2.498712169424574,True,False,2,2,-0.8925079675285653,67.03999999999999,53892.0
20,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,-0.07519506268436271,Windows,-1.2307728129042124,-0.20706820004694965,128,0,0,1,0,0,-0.9907223060167045,2,True,False,False,0,1,1,-0.7603688683734442,True,False,3,2,0.03045860524105415,30.400000000000002,105732.0
